refVideo,captureVideo,startFrame,endFrame,avgSSIM
Video010.mp4,Video010M2001.ts,10664,11413,0.978367
Video010.mp4,Video010M2001.ts,11414,12163,0.965938
Video010.mp4,Video010M2001.ts,12164,12913,0.964225
Video010.mp4,Video010M2001.ts,12914,13663,0.961582
Video010.mp4,Video010M2001.ts,13664,14413,0.966916
Video010.mp4,Video010M2001.ts,14414,15163,0.971706
Video010.mp4,Video010M2001.ts,15164,15913,0.973225
Video010.mp4,Video010M2001.ts,15914,16663,0.973455
Video010.mp4,Video010M2001.ts,16664,17413,0.970106
Video010.mp4,Video010M2001.ts,17414,18163,0.963215
Video010.mp4,Video010M2001.ts,18164,18913,0.970962
Video010.mp4,Video010M2001.ts,18914,19663,0.964895
Video010.mp4,Video010M2001.ts,19664,20413,0.96009
Video001.mp4,Video001M3001.ts,600,1349,0.913275
Video001.mp4,Video001M3001.ts,1350,2099,0.936846
Video001.mp4,Video001M3001.ts,2100,2849,0.922897
Video001.mp4,Video001M3001.ts,2850,3599,0.931026
Video001.mp4,Video001M3001.ts,3600,4349,0.982902
Video001.mp4,Video001M3001.ts,4350,5099,0.95154
Video001.mp4,Video001M3001.ts,5100,5849,0.907363
Video001.mp4,Video001M3001.ts,5850,6599,0.963733
Video001.mp4,Video001M3001.ts,6600,7349,0.847711
Video001.mp4,Video001M3001.ts,7350,8099,0.891041
Video002.mp4,Video002M3001.ts,200,949,0.873682
Video002.mp4,Video002M3001.ts,950,1699,0.917594
Video002.mp4,Video002M3001.ts,1700,2449,0.923464
Video002.mp4,Video002M3001.ts,2450,3199,0.92292
Video002.mp4,Video002M3001.ts,3200,3949,0.90151
Video002.mp4,Video002M3001.ts,3950,4699,0.91143
Video002.mp4,Video002M3001.ts,4700,5449,0.925481
Video002.mp4,Video002M3001.ts,5450,6199,0.933679
Video003.mp4,Video003M3001.ts,50,799,0.870094
Video003.mp4,Video003M3001.ts,800,1549,0.861065
Video003.mp4,Video003M3001.ts,1550,2299,0.896996
Video003.mp4,Video003M3001.ts,2300,3049,0.85991
Video003.mp4,Video003M3001.ts,3050,3799,0.873612
